q_mods,stale_qerr_gm,isomer_qerr_gm,stholes_init_qerr_gm,quicksel_init_qerr_gm,oasis_init_qerr_gm,fresh_init_qerr_gm,oasis_vs_stholes_pct,oasis_vs_quicksel_pct,oasis_strictly_best
1,1.227071996201937,1.1436540185675204,1.1505822739957374,1.1649603723522786,1.1911919897521592,1.1160224020379979,-3.529492559918601,-2.2517175710375454,False
3,1.4942659316993292,1.2975395824184208,1.290114687614803,1.277618539343835,1.25656438285203,1.134868212509736,2.600567615023564,1.6479219613248615,True
5,1.6642003333369029,1.3242654456355003,1.3078743932185406,1.280590887544553,1.2496042227704263,1.1508326418495871,4.455333841709188,2.4197161697395537,True
10,3.372669558200099,1.5323532632808685,1.509029381582818,1.431262550080836,1.3873650312132726,1.1829630699959246,8.062424221451002,3.0670486602953564,True
15,2.9372282158984806,1.959661894827746,1.7371099342062069,1.7002226706768817,1.4480289480735558,1.185476394489201,16.641490583884668,14.832981994230451,True
20,3.416762957605171,1.6239652414189705,1.5019236081682394,1.4493183318799845,1.3638917277534834,1.1394336735396817,9.190339619409873,5.89426092580295,True
25,3.6578996520192852,2.107397637837629,1.8903691750207023,1.7164479505801873,1.579123476833057,1.2823238877189043,16.464810276238058,8.000503231147341,True
30,3.746706236656142,1.5895182822871328,1.4409184397726063,1.4375662634211648,1.3635394009789812,1.1649763160475224,5.37011926961226,5.149457407689311,True
all,2.476645878092487,1.5428186825399053,1.4615337988592274,1.420598237265989,1.350039055392551,1.1686576639827704,7.628612048089585,4.966863960723527,True
