q_mods,stale_qerr_gm,proj_stale_isomer_qerr_gm,oasis_no_proj_qerr_gm,proj_oasis_qerr_gm,proj_fresh_qerr_gm,fresh_qerr_gm,proj_oasis_vs_isomer_pct,proj_oasis_win_vs_isomer_frac
1,1.227071996201937,1.1436540185675204,1.2451524704261587,1.1911919897521592,1.1160224020379979,1.0,-4.156674170059087,0.439453125
3,1.4942659316993292,1.2975395824184208,1.3077787170426654,1.25656438285203,1.134868212509736,1.0,3.157915189763926,0.6015625
5,1.6642003333369029,1.3242654456355003,1.3413182923785647,1.2496042227704263,1.1508326418495871,1.0,5.637934834827994,0.6298828125
10,3.372669558200099,1.5323532632808685,1.5844794544185488,1.3873650312132726,1.1829630699959246,1.0,9.461802023194485,0.5947265625
15,2.9372282158984806,1.959661894827746,1.60325477108201,1.4480289480735558,1.185476394489201,1.0,26.108225510970744,0.7451171875
20,3.416762957605171,1.6239652414189705,1.5697927622862708,1.3638917277534834,1.1394336735396817,1.0,16.01472168445199,0.630859375
25,3.6578996520192852,2.107397637837629,1.6519403810055049,1.579123476833057,1.2823238877189043,1.0,25.0676071529921,0.6865234375
30,3.746706236656142,1.5895182822871328,1.5822940629025704,1.3635394009789812,1.1649763160475224,1.0,14.216815485946732,0.642578125
all,2.476645878092487,1.5428186825399053,1.4779601055673273,1.350039055392551,1.1686576639827704,1.0,12.49528731593954,0.621337890625
