method,n_cases,n_predicates,selectivity_qerr_gm,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,feedback_residual_max,scan_regret_gm,join_regret_gm,join_optimal_match_frac,join_fresh_match_frac,risk_resolved_frac,new_risk_loss_frac
stale,36,576,2.6270337686595933,0.1603698283514501,0.19661080246913581,0.12664454289634033,0.7374879293522685,1.1245050934076533,1.1183693053191324,0.8263888888888888,0.8263888888888888,0.0,0.0
isomer,36,576,1.5002196221100461,0.07079780038918705,0.07174019109300986,0.04700243815234,0.5248312807170837,1.0203659262566664,1.0586769448718731,0.9079861111111112,0.9079861111111112,0.5625,0.012152777777777778
oasis_no_proj,36,576,1.4694765277619644,0.0813379262979333,0.06796473144166924,0.06605318612213462,0.4879285357918912,1.0287529781679998,1.0296156907088791,0.9236111111111112,0.9236111111111112,0.65625,0.012152777777777778
oasis_full,36,576,1.315935383199591,0.052473773536997725,0.04877998250361806,0.0428225600561107,0.5269476833195378,1.0139266179393915,1.0273450743462396,0.9357638888888888,0.9357638888888888,0.7291666666666666,0.012152777777777778
oasis_soft_projection,36,576,1.3038228583102256,0.04830545289215668,0.04777295058962102,0.0338314451912299,0.4517785682092049,1.0112969690823843,1.0280795896093555,0.9375,0.9375,0.6979166666666666,0.006944444444444444
oasis_band_projection,36,576,1.3116609256965763,0.05136118860065994,0.04672523293694685,0.040407345119571274,0.5170204201892286,1.010685322321532,1.027633772984035,0.9375,0.9375,0.7291666666666666,0.012152777777777778
oasis_damped_guarded,36,576,1.332128052708669,0.05567926549368904,0.04934427787749878,0.042673586783842976,0.5005967449025135,1.012231649750197,1.028297572089481,0.9375,0.9375,0.71875,0.010416666666666666
oasis_aggressive_hybrid,36,576,1.4004170147186417,0.0609152151847914,0.05632292926217651,0.037962287119745815,0.5269405481539724,1.0141628723593739,1.0400523260567747,0.9166666666666666,0.9166666666666666,0.59375,0.010416666666666666
oasis_recency_hybrid,36,576,1.317575845163945,0.05299937776639649,0.046462487915325194,0.04137662202188518,0.5269405481539724,1.0124183047797948,1.0289796886233151,0.9357638888888888,0.9357638888888888,0.7083333333333334,0.010416666666666666
residual_hybrid,36,576,1.4002430787404752,0.061503451394250695,0.05706621300237339,0.03956273265800082,0.5269476833195378,1.0141416033073263,1.0373286109647848,0.921875,0.921875,0.6145833333333334,0.008680555555555556
calibrated_hybrid,36,576,1.3156317889314482,0.049592294124683634,0.04847573481611181,0.032735665735497486,0.5269476833195378,1.0128550262187317,1.030614433225825,0.9305555555555556,0.9305555555555556,0.6666666666666666,0.008680555555555556
fresh,36,576,1.0,0.0,0.0,0.055845842559640695,0.5856615791524599,1.0,1.0,1.0,1.0,1.0,0.0
